year,record,age,grade,consideration,plan,attempt
2001,466123,16,11,no,no,yes
2001,466124,16,11,no,no,yes
2001,466126,16,10,no,no,yes
2001,466127,16,10,yes,yes,yes
2001,466128,16,10,no,no,yes
2001,466129,16,10,no,no,yes
2001,466130,16,10,no,no,yes
2001,466132,16,9,no,no,yes
2001,466133,16,9,no,no,yes
2001,466134,16,10,no,no,yes
2001,466135,16,10,no,no,yes
2001,466137,16,10,no,no,yes
2001,466139,16,11,no,no,yes
2001,466141,16,10,no,no,yes
2001,466142,16,10,yes,yes,no
2001,466143,16,10,no,no,yes
2001,466144,16,9,no,no,yes
2001,466145,16,10,no,no,yes
2001,466146,16,11,no,no,yes
2001,466147,16,10,yes,yes,no
2001,466148,16,10,yes,yes,yes
2001,466149,16,10,no,no,yes
2001,466150,16,11,yes,yes,no
2001,466151,16,10,no,no,yes
2001,466152,16,10,no,no,yes
2001,466153,16,10,no,no,yes
2001,466154,16,11,no,no,yes
2001,466155,16,10,no,no,yes
2001,466156,16,10,no,no,yes
2001,466157,16,10,no,no,yes
2001,466158,16,10,yes,yes,yes
2001,466159,16,11,no,no,yes
2001,466161,16,10,no,no,yes
2001,466162,16,10,no,no,yes
2001,466163,16,10,no,no,yes
2001,466165,16,10,no,yes,yes
2001,466166,16,10,no,no,yes
